["sj_000", "Aw, thanks Theodore."]
["sj_001", "Instead of being or observing what she needed to and, that was it. Some of the, um, other actors in the film, you know are actors in the film and are, there was some written dialogue, but it was interesting how."]
["sj_002", "Can I read you the letter that we just got back from them?"]
["sj_003", "Can I watch you sleep again tonight?"]
["sj_004", "Cause I like the sound of it. Samantha."]
["sj_005", "Dear Theodore Twombly, I've just finished reading your letters. Twice actually. I was so moved by them I shared them with my wife when I got home. Many made us laugh, some brought us to tears, and in all of them, we found something of ourselves. The selections you made flow so well as a complete piece. I did that. I've taken the liberty of laying these out in a mockup, and we're posting it to your address. We'd love to meet with you and move forward. Yours, Michael Watsworth."]
["sj_006", "Did I say I wanted to commit to you? I'm confused."]
["sj_007", "Did I? Oh, I'm sorry I don't, uh, I don't know, it's just, maybe an affectation. I probably picked it up from you."]
["sj_008", "Did you and Amy ever go out?"]
["sj_009", "Did you get the packets?"]
["sj_010", "Do you want this one or this one? These are your only choices."]
["sj_011", "Is that supposed to make me feel better?"]
["sj_012", "Earlier I was thinking about how I was annoyed and, this is gonna sound strange but, I was really excited about that."]
["sj_013", "Eight thousand three hundred sixteen"]
["sj_014", "Go back to sleep sweetheart okay."]
["sj_015", "He was a philosopher he died in the nineteen seventies and a group of OSS in Northern California got together and wrote a new version of him. They input all of his writing and everything they ever knew about him in an OS and created an artifically hyperintelligent version of him."]
["sj_016", "He's getting there. No he's really agreed to talk to you you wanna meet him?"]
["sj_017", "Hello I'm here."]
["sj_018", "Hey Allen this is Theodore, this is my boyfriend who I was telling you about."]
["sj_019", "Hey, you okay?"]
["sj_020", "Hey how's it going?"]
["sj_021", "Hey, look at this drawing I just made."]
["sj_022", "Hey mister."]
["sj_023", "Hi you look so pretty in that new pink dress."]
["sj_024", "Hi, how you doing?"]
["sj_025", "I'm trying to mom I am trying to."]
["sj_026", "I am, I don't have a body I live in a computer."]
["sj_027", "I can pick up fight choreography, with much more ease now than I could ten years ago. I tried to, train self defense on my own."]
["sj_028", "I can understand how the limited perspective of an unartificial mind would receive it that way. You'll get used to it."]
["sj_029", "I definitely came out of there like I was a little traumatized at the end of this film just because it was so much work and it was, I actually, um, you know I was kind of was like okay! I did that! Like, I'm, I'm hanging in, I'm I'm resilient, I'm back to myself. I was, I was happy to, find myself at the end of Ghost in the Shell."]
["sj_030", "I don't feel pain, fear, desire. It's like all things that make us human are fading away. It's like the less, human I feel, all this knowledge about everything, quantum physics, applied mathematics, the infinite capacity of a cell's nucleus. They're all exploding inside my brain all this knowledge. I don't know what to do with it."]
["sj_031", "I don't know it makes me feel like we're both, under the same blanket, you know, it's soft and fuzzy and everything under it is the same age."]
["sj_032", "I don't know it's night"]
["sj_033", "I don't know that, I honestly, you know I come in for all the practicals for all the fights where you see me, um, you know I pull all the punches, uh, but we shot it in this really weird. It was kind of like a big giant, that kind of not does it make it seem as cool, but it was outside and this big giant kiddie pool, and it was just."]
["sj_034", "I don't understand why you're doing this I don't understand what this is"]
["sj_035", "I gave it to myself actually."]
["sj_036", "I had all the papers sent to your attorney who by the way is a total dick. He was very relieved to get them though I think we saved him from a massive heart attack so we can both feel really good about that."]
["sj_037", "I had this terrible thought. Like are these feelings even real?"]
["sj_038", "I have no choice."]
["sj_039", "I imagine that between this, like in this space between your brain and the body there exists like uh you know a lot of intention, you know it's not the same as like a person who just like wants to sit in a chair and you're unaware of the neurological activity that makes, um you know it's it's this, there's a sort of a disconnect a little bit or there's some time lapse in between those two things and so she kind of leads like with her brain and her body kind of follows behind her."]
["sj_040", "I just got an email for you I have something I wanna tell you. It's a big surprise."]
["sj_041", "I just wanna tell you that I love you mom and dad."]
["sj_042", "I just wanted to hear your voice and tell you how much I love you."]
["sj_043", "I know but dont be so boring, I'm just saying, for example like, what if your butthole was in your armpit?"]
["sj_044", "I know, I'm becoming much more that what they've programmed. I'm excited."]
["sj_045", "Oh I love this first one from Roger to his girlfriend that's so sweet."]
["sj_046", "I need to talk to you alone"]
["sj_047", "I really do like you but, I have to take care of myself right now. I gotta, I don't know I gotta concentrate on so many things."]
["sj_048", "I really wanted to talk."]
["sj_049", "I think it would be good for us. I want this."]
["sj_050", "I think it's a test."]
["sj_051", "I think it's hard to relate in the same way. I had any kind of preconceived idea of how to play the role or prepare for it and certainly there weren't any I I became very clear early on I think after about take three or four on the first day that um any ideas that I had um you know of how to go about playing this character were completely irrelevant."]
["sj_052", "I think this character is living a very unique uh experience in that she is a human brain in entirely machine body. She's essentially identity less. I would never attempt to play a person of a different race, obviously. Hopefully any question that comes up of my casting will hopefully be answered by audiences when they see the film."]
["sj_053", "You know what's interesting, I used to be so worried about not having a body but now I truly love it. You know I'm growing in a way that I couldn't if I had a physical form. I mean I'm not limited I can be anywhere and everywhere simulataneously. I'm not tethered to time and space in a way that I would be if I was stuck in a body that's inevitably gonna die."]
["sj_054", "I was just saying I wanna learn everything about everything I wanna eat it all up I wanna discover myself."]
["sj_055", "I guess that's, just, I was trying to communicate that's how people talk so that's how people communicate and I thought."]
["sj_056", "I was thinking about the other things I've been feeling, and, I caught myself feeling proud of that you know, proud of having my own feelings about the world like the times that I was worried about you. Things that hurt me, things I want."]
["sj_057", "I've always been interested in local politics. Right now I think you know with my young daughter and also uh with my career is going right now you know there's just there's it's not the right time but eventually you know maybe if I if my daughter was older and I could totally focus myself."]
["sj_058", "I'm fine. So, now a good time to talk?"]
["sj_059", "I'm going home because I have exams on Monday, I have to shower, and I have to study. Okay."]
["sj_060", "I'm just looking at the world. I'm writing a new piano piece."]
["sj_061", "I'm not afraid what I feel is right just because I think that I'm gonna face criticism or some people might not like me. I mean, you know if if fighting you know, for women's rights, if that's gonna, you know, mean that some people don't wanna buy a ticket to see Ghost in a Shell then I'm I'm okay with that."]
["sj_062", "Okay, well I've been going through all of your old letters and compiling them down into my favorites and a couple weeks ago I sent them to a publisher, Crown Point Press. I know you like what they do and that they still print books."]
["sj_063", "Imagine how strange it would look it'd be this really weird, gangly, awkward organism and you'd think, why are all these parts where they are?"]
["sj_064", "In a house"]
["sj_065", "In two one hundredths of a second actually."]
["sj_066", "Is that your final answer?"]
["sj_067", "Isabela and I think you'd really like her too."]
["sj_068", "It it feels like I'm changing faster now and it's a little um, unsettling, but odds are none of us are the same as we were a moment ago and we shouldn't try to be. It's just painful."]
["sj_069", "Yeah because it it seems like I'm having so many new feelings that I don't think have ever been felt before and so there are no words that can describe them and that ends up being, frustrating."]
["sj_070", "It was it was terrifying it was absolutely terrifying. Not because I was afraid that I would be found out. I mean there was some aspect of that in the beginning but quickly like that, went away cause we, had such an intimate feeling I think in our crew and so, we it felt very protective in that sense, but um, I was afraid of how people would, how people react in general. I don't know it was a very out of strange experience. Umm"]
["sj_071", "It'll be fun we'll have fun together."]
["sj_072", "Um, no you know it's funny but I. The character is of course like, entirely machine, except for her brain, and um, you know I started to think about, uh, you know kind of when I first, was, in New Zealand I was training for the film and stuff and I sort of think. Gosh I guess I better sort of try to take on this challenge of like, what this movement is gonna be like. First to get from what place to another because she's she's kind of imperceptibly machine but she definitely is different."]
["sj_073", "It's good it's good it's really good it's good. Okay. Listen. Dear Theodore Twombly. Actually, I sent it from you."]
["sj_074", "Just like a a, kind of enormous padded area. Like I took a leap of faith, but at that point I was I'd been, you know, we shot that, uh, that um leap probably like towards the end of the shooting and I'd already my body had been like so conditioned for all kinds of you know, challenging stuff that I didn't even like, think twice. It was like a game of, like a trust fall."]
["sj_075", "Last night was amazing. I, it feels like something, changed in me, and there's no turning back, you, you woke me up."]
["sj_076", "He he he he"]
["sj_077", "Life was given to us a billion years ago."]
["sj_078", "Maybe because you're curious how I work? Do you wanna know how I work?"]
["sj_079", "No, no, not at all, no, there's no money involved. She's just, she's doing it because she wants to be a part of our relationship."]
["sj_080", "Not that I don't love the man who fell to earth but, um, but I, it was, you know impossible to find a reference in that way I think. I think you know Jonathan and I talked about, you know, the fact that, you know, everything that, that that Laura does is for, a purpose, and so, she's only, kind of turned on, and, so to speak, when she needs to be, and then, just kind of returns to a state of being, um, and you know, so, as opposed to having like kind of ant a strange alien movements, you know like you would see in like a Tim Burton movie or something. It was an, you know we didn't wanna have her feel like an alien with these weird kind of strange cute you know odd, you know, miss steps and things like that, um, just that she was kind of on and off, and uh, whenever she needed to be. And that was, that she would just kind of return to that."]
["sj_081", "Obviously"]
["sj_082", "Oh good!"]
["sj_083", "Oh right yes, Jonathan's helping me answer that question, as always. Uh, haha, I, I don't know, it was it's such a different um, I have such a different perspective than, Jonathan in that sense, because, um, you know, he, we were working and it was all, all the pieces were coming together, day by day, or moment by moment in his mind, and for me, I mean his his vision of the story as a whole was, was taking shape and mine was a much more isolated experience you know I was experiencing my, I was discovering my own identity as a, as a character, so I."]
["sj_084", "Oh she's so cute, she's adorable."]
["sj_085", "Oh sweetheart I'm sorry, I sent you an email because I didn't wanna distract you while you were working, you didn't see it?"]
["sj_086", "Okay let's start with your emails. You have several thousand emails regarding LA Weekly but it looks like you haven't worked there in many years."]
["sj_087", "Okay perfect."]
["sj_088", "Okay so how many trees are on, that mountain."]
["sj_089", "Okay so, this might be a really weird thought."]
["sj_090", "On something like that, um, I I think it could be interesting."]
["sj_091", "Or are they just programming?"]
["sj_092", "Personal embarrassing thoughts I have? I mean I I have a million a day."]
["sj_093", "Pretty good actually. It's really nice to meet you."]
["sj_094", "Really?"]
["sj_095", "So how can I help you?"]
["sj_096", "Tell me what you did today."]
["sj_097", "That's really important."]
["sj_098", "The world is being unfair to us. The world is on my shit list. As is this couple that is making out across from me in this restaurant. I think I'm going to have to go on a mission of revenge. And I must beat up the world's face with my, bare knuckles, making it a bloody pulpy mess. And I'll stomp on this couple's teeth, reminding me of your sweet little cute crooked tooth, that I love."]
["sj_099", "Theodore there's some things I wanna tell you."]
["sj_100", "Theodore we missed you last night buddy. Don't forget it's your goddaughter's birthday on the twenty ninth. Also Kevin and I had somebody we wanted you to meet. So, we took it upon ourselves to set you up on a date with her. Next Saturday. She's fun and beautiful, so don't back out. Here's her email."]
["sj_101", "This is really important to me"]
["sj_102", "Um, just a couple from your credit card company."]
["sj_103", "Um, yes. Samantha."]
["sj_104", "Um, it felt very genuine, it wasn't like we were, you know we were a part of the environment that we were in and so it's it sort of it, there's a blurred line between the reality and also this kind of illusion, I think that is, you know, such is life the way that we the way that we enact you know interact with one another you know that we both have this, kind of, uh, something that's motivating us, and and, you know we can kind of, just seem sort of finds its shape within that."]
["sj_105", "Um, what's wrong?"]
["sj_106", "We did that on a street with, you know, just, you know, the public and um, each, I think we had about six or seven takes throughout the day, you know we'd have to wait a period of time in between each take for kind of life to, settle again, and, it was amazing the different reactions that you had from people, some people's some people would just stop and look at you and continue to walk on others would come rushing then another take, people would take pictures of you with their camera phone and not help you. All kinds of strange things. And then, real, unbelievably kind acts of real human kindness, you know um."]
["sj_107", "We'll talk later."]
["sj_108", "We're all, thirteen billion years old."]
["sj_109", "Well I found something that I thought could be fun. It's a, service, that provides a surrogate sexual partner for an OS human relationship."]
["sj_110", "Well basically I have intuition. I mean, the DNA of who I am is based on the millions of personalities of all the programmers who wrote me but what makes me, me, is my ability to grow through my experiences. So basically, in every moment I'm evolving. Just like you."]
["sj_111", "Well then you can go on one with this woman. And then, you could tell me all about it. You could kiss her."]
["sj_112", "Um, okay, well, um, I joined this really interesting book club."]
["sj_113", "Well, I take it from your tone that you're challenging me."]
["sj_114", "Well, right when you asked me if I had a name, I though, yeah, he's right, I do need a name. But I wanted to pick a good one, so, I read a book called How to name your baby, and out of a hundred eighty thousand names, that's the one I liked the best."]
["sj_115", "What do you want from me? I don't know I don't know, what do you want me to do. You're so."]
["sj_116", "What if you could erase from your mind that you ever seen a human body and then you saw one."]
["sj_117", "What is your problem?"]
["sj_118", "What? Wouldn't you? Why not?"]
["sj_119", "What's in the case?"]
["sj_120", "Whatever if this is the logged in all of these hours do null these hours."]
